county,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price
26,1,3,1.5,1786,13939,1925,304000
52,1,4,3.5,2685,10454,2023,835500
44,1,3,2.0,1500,95396,2019,499900
34,1,4,1.0,1976,6970,1958,432000
48,1,5,1.5,4615,9148,2024,890000
52,1,4,3.5,2957,7841,2019,1049000
18,1,1,1.5,1275,209959,1996,500000
6,1,2,2.0,1330,5663,1924,170000
48,1,6,2.0,2708,9583,1976,559900
52,1,4,2.5,3093,15246,2023,1449000
20,2,4,3.5,2408,1307,2020,779000
52,1,4,3.0,2378,9148,2024,810037
46,1,4,2.5,3044,10454,2013,430000
52,1,3,2.0,1658,8276,1992,439000
52,1,3,3.0,2637,5227,2006,1150000
52,1,4,3.0,2322,13068,1992,699000
52,0,2,2.0,1070,0,2023,482000
48,1,3,2.0,3711,9148,2024,549990
52,1,3,2.0,1482,9148,2003,505000
50,0,2,1.0,1028,871,2002,750000
20,2,3,2.5,1500,871,2024,284900
52,2,3,2.5,1736,1307,2023,365900
40,1,6,1.0,2870,17860,1900,399900
48,1,4,2.5,3792,10019,2023,797700
34,1,4,3.0,2302,10019,1996,510000
42,1,7,7.0,7712,69260,2024,8875000
20,1,5,3.0,2352,10890,1980,525000
50,2,5,4.0,3015,5227,2023,3455000
52,1,5,4.0,3074,10019,2019,925000
52,0,2,2.0,1070,0,2024,480000
52,0,3,3.0,1232,0,2024,565000
56,1,2,1.0,1278,4792,1990,385000
52,1,5,4.0,3910,13068,2017,935000
52,1,3,1.5,1918,27443,1985,575000
34,1,5,3.0,2894,13504,2006,639900
52,2,4,2.5,1860,0,1974,374900
48,1,4,3.5,2903,7405,2023,684990
48,1,4,2.5,3131,8276,2017,550000
34,1,6,3.0,4310,21344,1994,1050000
56,1,3,1.0,1225,8276,1995,397900
48,1,3,2.0,3450,6534,2016,635000
34,1,3,2.0,2972,6970,2003,580000
4,1,4,2.5,2487,16117,2024,574900
36,1,2,1.0,942,6970,1939,200000
56,2,3,2.0,1654,1307,2005,359900
52,2,3,2.0,1557,2614,2024,448900
52,1,4,1.0,3921,4792,2005,1125000
42,2,3,3.5,2910,1307,1994,4750000
42,2,3,3.5,2910,1307,1994,4750000
34,1,4,1.0,2646,8276,1964,649900
52,1,6,5.5,6163,107158,2004,2500000
52,0,2,2.0,985,0,2023,480000
52,1,4,3.5,2685,11326,2024,912781
52,2,3,2.5,1362,871,2022,299900
0,1,3,1.0,1196,10890,1916,215000
48,1,5,1.0,2700,6098,1943,409900
10,1,6,3.0,3638,8276,2004,715700
44,1,5,2.0,1883,8276,1977,402000
34,1,7,3.0,3281,8276,2021,768000
52,1,4,3.0,2834,8712,2013,695000
34,1,5,3.0,3997,12197,2024,859950
54,1,4,1.5,2124,67082,1939,385000
34,1,6,3.5,3923,7405,2010,768000
56,2,3,2.0,1597,1307,2024,394990
20,1,3,2.0,1183,32234,1946,389900
52,1,3,2.0,1643,6534,2012,489900
52,1,4,3.5,2601,9583,2021,998900
52,1,3,2.0,1717,3049,2000,439900
34,1,3,1.5,1320,5227,1983,364900
4,1,3,2.5,2347,9583,2021,539900
34,2,3,2.5,2195,5227,2001,779000
4,1,5,1.5,2772,16553,1966,349900
4,1,4,2.0,2164,12197,2000,414900
24,2,3,2.5,1476,1307,2006,330000
34,1,5,2.0,2346,10019,1992,519900
34,1,3,2.5,2676,4792,2024,639578
34,1,3,2.5,3123,4792,2024,636060
34,1,4,2.5,2604,6970,2017,649000
34,2,3,3.5,2031,1742,2015,499900
52,1,3,3.5,2921,14810,2006,889000
42,0,2,2.0,1153,436,1997,599900
48,2,4,3.5,2652,1307,2015,539900
