county,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price
Rich,Single Family,3.0,1.0,1914.0,30492.0,1911.0,190000.0
Davis,Single Family,3.0,2.5,1652.0,6970.0,2021.0,515000.0
Utah,Single Family,5.0,2.0,3536.0,10890.0,2017.0,689900.0
Salt Lake,Condo,2.0,1.0,784.0,436.0,1979.0,299900.0
Tooele,Single Family,4.0,2.5,2896.0,6098.0,2020.0,490000.0
Utah,Single Family,7.0,3.5,3777.0,16988.0,2021.0,810000.0
Salt Lake,Single Family,2.0,1.0,705.0,8712.0,1950.0,340000.0
Weber,Single Family,4.0,2.5,4607.0,14810.0,2021.0,839900.0
Utah,Condo,2.0,2.0,1435.0,2178.0,2002.0,410000.0
Weber,Single Family,6.0,5.0,4780.0,40946.0,2007.0,1100000.0
Davis,Single Family,6.0,2.0,2400.0,9583.0,1966.0,489900.0
Salt Lake,Single Family,5.0,3.5,4719.0,12632.0,2005.0,1325000.0
Washington,Townhouse,3.0,2.0,1171.0,4356.0,1995.0,324900.0
Davis,Single Family,5.0,1.0,2156.0,5663.0,1985.0,496900.0
Davis,Single Family,2.0,1.0,2822.0,14375.0,1980.0,485000.0
Washington,Single Family,3.0,2.5,2235.0,25700.0,1998.0,495000.0
Salt Lake,Townhouse,3.0,2.5,2210.0,2178.0,2024.0,425900.0
Salt Lake,Single Family,4.0,1.0,2214.0,9583.0,1948.0,750000.0
Davis,Single Family,4.0,1.0,2489.0,10019.0,1978.0,516000.0
Utah,Single Family,3.0,2.5,2126.0,nan,2024.0,499990.0
Utah,Single Family,3.0,2.5,2126.0,nan,2024.0,489990.0
Utah,Single Family,3.0,2.5,2385.0,nan,2024.0,524990.0
Tooele,Single Family,4.0,3.5,2777.0,nan,2024.0,549990.0
Salt Lake,Single Family,4.0,2.0,1742.0,6970.0,1976.0,425000.0
Washington,Townhouse,3.0,3.0,2148.0,nan,1979.0,379900.0
Utah,Single Family,4.0,2.5,2607.0,nan,2024.0,547990.0
Tooele,Single Family,4.0,2.5,2607.0,nan,2024.0,529990.0
Salt Lake,Condo,3.0,2.0,1329.0,nan,2024.0,397900.0
Summit,Condo,3.0,2.0,1261.0,nan,2003.0,800000.0
Summit,Townhouse,3.0,2.0,1261.0,nan,2003.0,800000.0
Iron,Single Family,3.0,2.5,2115.0,22651.0,2023.0,648845.0
Salt Lake,Single Family,3.0,1.0,1158.0,10454.0,1975.0,389900.0
Davis,Townhouse,4.0,2.5,2080.0,871.0,2013.0,450000.0
Salt Lake,Townhouse,3.0,1.5,1412.0,436.0,1999.0,449900.0
Salt Lake,Single Family,5.0,3.0,4355.0,6534.0,1996.0,1125000.0
Wasatch,Single Family,5.0,3.5,3878.0,6534.0,2023.0,875000.0
Wasatch,Single Family,5.0,6.0,3878.0,6534.0,2023.0,875000.0
Washington,Single Family,3.0,1.0,1310.0,6970.0,1953.0,325000.0
Tooele,Single Family,4.0,3.0,3139.0,6534.0,2019.0,550000.0
Summit,Single Family,5.0,4.5,4283.0,17424.0,2023.0,2350000.0
Carbon,Single Family,7.0,4.0,7000.0,53143.0,1984.0,635000.0
