Actual,Predicted
575000,544028.8847707601
270000,308775.2242229274
404990,450229.06386004365
359900,392356.1606238067
629900,424004.65920562897
449000,537344.085290202
432990,452177.79269597895
949900,949129.2482899021
749000,493910.8683160724
1174999,808215.0513736366
365000,391838.13066786964
519000,513702.6054749001
319900,341984.5658106116
387400,436451.09368112084
1311191,1374971.7191387585
289900,272094.7435069414
5300000,3368768.017878067
320000,330701.45604385115
475000,494412.11880382284
339900,445072.4836957199
615000,574037.6053647121
350000,1209906.332820078
4850000,2541496.845097993
4650000,4480311.272806917
759000,991774.3265423581
296500,346449.1548229593
499000,486878.2423934931
675000,289737.5150114804
383500,370024.4653065075
500000,481879.07701589365
575000,659261.8667757972
274900,295535.7940990899
1000000,1983230.1929814192
3695000,2271194.010705661
575000,567778.1790430094
450000,465567.7851710411
475000,469226.58103055
949000,1099098.4129276574
468000,643492.857518474
309000,378037.0171215113
980000,726759.6984888689
799900,718153.9163774658
325000,381886.7486948532
1350000,860632.0257045277
359900,505389.435080262
415000,452895.54440437676
2099000,1673540.4117408285
1116356,877856.4155451149
520000,461568.4595479723
1595000,1551615.7109154677
1350000,971548.6942041981
850000,930779.7261704926
399000,404176.9746529752
599000,586805.8157485345
274900,254031.7049873157
442000,389429.42140551563
569000,529502.1885578745
870000,821749.1703384344
490990,467519.9352534426
985000,764348.6018871095
305000,389679.0272445051
1100000,1552480.915763892
499000,548358.7109355828
584900,489236.38221836806
529900,465254.60073810053
160000,200646.68760862938
440000,465823.02376051963
550000,531419.6282984386
429900,443229.6338113223
649500,531000.039048883
2460000,1576279.8205834671
332500,364806.5628827308
464990,614190.09982328
800000,792313.9133243492
775000,2017724.1323330342
460000,589320.1777517595
460000,495586.6527879638
550000,582051.6783743661
599900,722513.2798699547
397500,425881.8004434621
4300000,3595355.657091051
399000,415547.88012944354
1625000,1703130.994231822
869900,1047150.4094104812
360000,437623.264342318
375000,364599.8468611966
664900,600742.221825537
724900,840339.5157158689
479900,733299.40187468
310000,378832.11718261725
6995000,3830710.942559661
365000,431896.34050813527
620000,535807.5252207373
1050000,1509963.2077572884
999523,1210012.2915449862
1035000,995735.6415307516
599900,632805.4859653115
322500,482117.3205399491
349990,394656.4157332502
799000,722745.6902365083
575000,637897.4042269803
995000,911297.7649579314
1014990,572679.0016935803
400000,357929.1602984207
685000,515298.7454229208
599900,553853.5860412001
789900,765912.4341522316
379900,625443.9092569044
250000,630691.2892294523
388000,356018.5144065434
999999,1339039.671160722
1245000,956382.2033863341
654000,623065.8853580466
399000,280169.9460474419
975000,853118.1673248153
509900,479909.61732811714
595000,787023.8208617199
1298000,1894835.7260974185
624990,719404.4082338066
419900,405119.2277975971
445000,482818.9612547945
3100000,1625625.6412497335
899900,1154226.3657705337
824777,833243.0534294167
490000,415189.56331372727
340000,320631.6341637221
675000,920140.7034738262
385000,477868.83801256336
440000,392621.537350047
509900,553996.1191267133
635000,711498.2684553154
520000,441202.8979226604
795000,641110.9358007747
509900,544690.3563853155
765000,619867.7336908926
419999,422698.88508471835
394900,464516.1053616442
619900,532963.3541585652
345000,437337.7429876783
